"HAFAS_ID";"RMV_ID";"DHID";"HST_NAME";"NAME_FAHRPLAN";"X_IPL_WERT";"Y_IPL_WERT";"X_WGS84";"Y_WGS84";"LNO";"IST_BAHNHOF";"GUELTIG_AB";"GUELTIG_BIS";"VERBUND_1_ISTGLEICH_RMV";"LAND";"RP";"LANDKREIS";"GEMEINDENAME";"ORTSTEILNAME";"AGS_LAND";"AGS_RP";"AGS_LK";"AGS_G";"AGS_OT"
"3016387";"16387";"";"Kirche";"Limburg (Lahn)-Eschhofen Kirche";"3436157";"5584170";"8,10124254434549";"50,3899562132587";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Limburg a.d.Lahn";"Eschhofen";"06";"5";"33";"009";"030"
"3016388";"16388";"";"Bahnhofstraße";"Limburg (Lahn)-Eschhofen Bahnhofstraße";"3436664";"5584247";"8,1083580721384";"50,3907032459412";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Limburg a.d.Lahn";"Eschhofen";"06";"5";"33";"009";"030"
"3016389";"16389";"";"Ortsmitte";"Limburg (Lahn)-Lindenholzhausen Ortsmitte";"3437571";"5582822";"8,12134779016081";"50,377991323389";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Limburg a.d.Lahn";"Lindenholzhausen";"06";"5";"33";"009";"050"
"3016390";"16390";"";"Ortsmitte";"Brechen-Werschau Ortsmitte";"3440243";"5579483";"8,15943832539544";"50,3482551695672";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Brechen";"Werschau";"06";"5";"33";"002";"030"
"3016391";"16391";"";"Marktplatz";"Bad Camberg Marktplatz";"3448040";"5573838";"8,26975211954681";"50,2982517172116";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Bad Camberg";"Bad Camberg";"06";"5";"33";"003";"010"
"3016392";"16392";"";"Ortsmitte";"Brechen-Niederbrechen Ortsmitte";"3440726";"5580970";"8,1659892222261";"50,3616706279158";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Brechen";"Niederbrechen";"06";"5";"33";"002";"010"
"3016394";"16394";"";"Ortsmitte";"Brechen-Oberbrechen Ortsmitte";"3442714";"5579996";"8,19407323352104";"50,3531124523782";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Brechen";"Oberbrechen";"06";"5";"33";"002";"020"
"3016395";"16395";"";"Robert-Koch-Straße";"Bad Camberg Robert-Koch-Straße";"3448633";"5573343";"8,27814151741336";"50,2938540420827";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Bad Camberg";"Bad Camberg";"06";"5";"33";"003";"010"
"3016396";"16396";"";"Ortsmitte";"Bad Camberg-Oberselters Ortsmitte";"3446209";"5576509";"8,24367542782432";"50,3220974704702";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Bad Camberg";"Oberselters";"06";"5";"33";"003";"040"
"3016397";"16397";"";"Hauser Weg";"Selters (Taunus)-Eisenbach Hauser Weg";"3447243";"5578299";"8,25794271999585";"50,3382817320601";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Selters (Ts.)";"Eisenbach";"06";"5";"33";"014";"010"
"3016398";"16398";"";"Limburger Straße";"Bad Camberg-Erbach Limburger Straße";"3447032";"5574935";"8,25545211049243";"50,3080231074609";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Bad Camberg";"Erbach";"06";"5";"33";"003";"030"
